Celerity_300M	Celerity_500M	Celerity_900M	Celerity_1.8B	Celerity_3.8B	Celerity_SPJ_300M	Celerity_SPJ_900M	OLMo-1B-hf	OLMo-7B	OLMo-2-0425-1B	OLMo-2-1124-7B	OLMo-2-1124-13B	OLMo-2-0325-32B	Qwen3-0.6B-Base	Qwen3-1.7B-Base	Qwen3-4B-Base	Qwen3-8B-Base	Qwen3-14B-Base	Qwen2.5-0.5B	Qwen2.5-1.5B	Qwen2.5-3B	Qwen2.5-7B	Qwen2.5-14B	Qwen2.5-32B	gemma-3-1b-pt	gemma-3-4b-pt	gemma-3-12b-pt	gemma-3-27b-pt	gemma-3-1b-pt+forward	gemma-3-1b-pt+forward+teacher	gemma-3-4b-pt+forward	gemma-3-4b-pt+forward+teacher	gemma-3-12b-pt+forward	gemma-3-12b-pt+forward+teacher	gemma-2-2b	gemma-2-9b	gemma-2-27b	gemma-2-2b+forward	gemma-2-2b+forward+teacher	gemma-2-9b+forward	gemma-2-9b+forward+teacher	Zamba2-1.2B	Zamba2-2.7B	Zamba2-7B	phi-1	phi-1_5	phi-2	phi-4	huggyllama/llama-7b	huggyllama/llama-13b	Llama-2-7b-hf	Llama-2-13b-hf	Meta-Llama-3-8B	Llama-3.1-8B	Llama-3.2-1B	Llama-3.2-3B	Cerebras-GPT-111M	Cerebras-GPT-256M	Cerebras-GPT-590M	Cerebras-GPT-1.3B	Cerebras-GPT-2.7B	Cerebras-GPT-6.7B	Cerebras-GPT-13B	btlm-3b-8k-base	SmolLM-135M	SmolLM-360M	SmolLM-1.7B	SmolLM2-135M	SmolLM2-360M	SmolLM2-1.7B	SmolLM3-3B-Base	jais-family-590m	jais-family-1p3b	jais-family-2p7b	jais-family-6p7b	jais-family-13b
2.71E+08	5.03E+08	9.06E+08	1.81E+09	3.88E+09	2.71E+08	9.06E+08	1.00E+09	7.00E+09	1.00E+09	7.00E+09	1.30E+10	3.20E+10	6.00E+08	1.70E+09	4.00E+09	8.00E+09	1.40E+10	5.00E+08	1.50E+09	3.00E+09	7.00E+09	1.40E+10	3.20E+10	1.00E+09	4.30E+09	1.22E+10	2.74E+10	1.00E+09	1.00E+09	4.00E+09	4.00E+09	1.20E+10	1.20E+10	2.61E+09	9.24E+09	2.72E+10	2.61E+09	2.61E+09	9.24E+09	9.24E+09	1.20E+09	2.70E+09	7.40E+09	1.30E+09	1.30E+09	2.70E+09	1.40E+10	7.00E+09	1.30E+10	7.00E+09	1.30E+10	8.00E+09	8.00E+09	1.23E+09	3.21E+09	1.11E+08	2.56E+08	5.90E+08	1.30E+09	2.70E+09	6.70E+09	1.30E+10	2.60E+09	1.35E+08	3.60E+08	1.70E+09	1.35E+08	3.60E+08	1.70E+09	3.00E+09	5.90E+08	1.30E+09	2.70E+09	6.70E+09	1.30E+10
6.34E+10	1.18E+11	2.12E+11	4.24E+11	9.08E+11	6.34E+10	2.12E+11	2.00E+12	2.46E+12	4.00E+12	4.00E+12	5.00E+12	6.00E+12	3.60E+13	3.60E+13	3.60E+13	3.60E+13	3.60E+13	1.80E+13	1.80E+13	1.80E+13	1.80E+13	1.80E+13	1.80E+13	2.00E+12	4.00E+12	1.20E+13	1.40E+13	2.00E+12	1.60E+13	4.00E+12	1.80E+13	1.20E+13	2.60E+13	2.00E+12	8.00E+12	1.30E+13	2.00E+12	1.50E+13	8.00E+12	2.10E+13	3.00E+12	3.00E+12	2.00E+12	5.40E+10	1.50E+11	1.40E+12	1.00E+13	1.00E+12	1.00E+12	2.00E+12	2.00E+12	1.50E+13	1.50E+13	9.00E+12	9.00E+12	2.22E+09	5.12E+09	1.18E+10	2.60E+10	5.40E+10	1.33E+11	2.57E+11	6.27E+11	6.00E+11	6.00E+11	1.00E+12	2.00E+12	4.00E+12	1.10E+13	1.12E+13	4.80E+11	4.80E+11	4.80E+11	4.80E+11	4.80E+11
2.34E+02	2.34E+02	2.34E+02	2.34E+02	2.34E+02	2.34E+02	2.34E+02	2.00E+03	3.51E+02	4.00E+03	5.71E+02	3.85E+02	1.88E+02	6.00E+04	2.12E+04	9.00E+03	4.50E+03	2.57E+03	3.60E+04	1.20E+04	6.00E+03	2.57E+03	1.29E+03	5.63E+02	2.00E+03	9.30E+02	9.85E+02	5.10E+02	2.00E+03	1.60E+04	1.00E+03	4.50E+03	1.00E+03	2.17E+03	7.65E+02	8.66E+02	4.77E+02	7.65E+02	5.74E+03	8.66E+02	2.27E+03	2.50E+03	1.11E+03	2.70E+02	4.15E+01	1.15E+02	5.19E+02	7.14E+02	1.43E+02	7.69E+01	2.86E+02	1.54E+02	1.88E+03	1.88E+03	7.32E+03	2.80E+03	2.00E+01	2.00E+01	2.00E+01	2.00E+01	2.00E+01	1.99E+01	1.98E+01	2.41E+02	4.44E+03	1.67E+03	5.88E+02	1.48E+04	1.11E+04	6.47E+03	3.73E+03	8.14E+02	3.69E+02	1.78E+02	7.16E+01	3.69E+01
1.28E+05	1.28E+05	1.28E+05	1.28E+05	1.28E+05	1.28E+05	1.28E+05	5.03E+04	5.03E+04	1.00E+05	1.00E+05	1.00E+05	1.00E+05	1.52E+05	1.52E+05	1.52E+05	1.52E+05	1.52E+05	1.52E+05	1.52E+05	1.52E+05	1.52E+05	1.52E+05	1.52E+05	2.62E+05	2.62E+05	2.62E+05	2.62E+05	2.62E+05	2.62E+05	2.62E+05	2.62E+05	2.62E+05	2.62E+05	2.56E+05	2.56E+05	2.56E+05	2.56E+05	2.56E+05	2.56E+05	2.56E+05	3.20E+04	3.20E+04	3.20E+04	5.12E+04	5.12E+04	5.12E+04	1.00E+05	3.20E+04	3.20E+04	3.20E+04	3.20E+04	1.28E+05	1.28E+05	1.28E+05	1.28E+05	5.03E+04	5.03E+04	5.03E+04	5.03E+04	5.03E+04	5.03E+04	5.03E+04	5.03E+04	49152	49152	49152	4.92E+04	4.92E+04	4.92E+04	1.28E+05	84992	84992	84992	84992	84992
6.40E+02	8.96E+02	1.15E+03	1.54E+03	2.05E+03	6.40E+02	1.15E+03	2.05E+03	4.10E+03	2.05E+03	4.10E+03	5.12E+03	5.12E+03	1.02E+03	2.05E+03	2.56E+03	4.10E+03	5.12E+03	8.96E+02	1.54E+03	2.05E+03	3.58E+03	5.12E+03	5.12E+03	1.15E+03	2.56E+03	3.84E+03	5.38E+03	1.15E+03	1.15E+03	2.56E+03	2.56E+03	3.84E+03	3.84E+03	2.30E+03	3.58E+03	4.61E+03	2.30E+03	2.30E+03	3.58E+03	3.58E+03	4.10E+03	5.12E+03	7.17E+03	2.05E+03	2.05E+03	2.56E+03	5.12E+03	4.10E+03	5.12E+03	4.10E+03	5.12E+03	4.10E+03	4.10E+03	2.05E+03	3.07E+03	7.68E+02	1.09E+03	1.54E+03	2.05E+03	2.56E+03	4.10E+03	5.12E+03	2.56E+03	576	960	2048	5.76E+02	9.60E+02	9.60E+02	2.05E+03	1536	2048	2560	4096	5120
8.19E+03	8.19E+03	8.19E+03	8.19E+03	8.19E+03	8.19E+03	8.19E+03	4.10E+03	4.10E+03	4.10E+03	4.10E+03	4.10E+03	4.10E+03	3.28E+04	3.28E+04	3.28E+04	3.28E+04	3.28E+04	3.28E+04	1.31E+05	3.28E+04	1.31E+05	1.31E+05	1.31E+05	3.28E+04	1.64E+04	1.64E+04	1.64E+04	3.28E+04	3.28E+04	1.64E+04	1.64E+04	1.64E+04	1.64E+04	8.19E+03	8.19E+03	8.19E+03	8.19E+03	8.19E+03	8.19E+03	8.19E+03	4.10E+03	4.10E+03	4.10E+03	2.05E+03	2.05E+03	2.05E+03	1.64E+04	2.05E+03	2.05E+03	4.10E+03	4.10E+03	8.19E+03	1.31E+05	1.31E+05	1.31E+05	2.05E+03	2.05E+03	2.05E+03	2.05E+03	2.05E+03	2.05E+03	2.05E+03	8.19E+03	8192	8192	8192	2.05E+03	2.05E+03	2.05E+03	6.55E+04	2048	2048	2048	2048	2048
1.30E+01	1.70E+01	2.30E+01	3.00E+01	4.00E+01	1.30E+01	2.30E+01	1.60E+01	3.20E+01	1.60E+01	3.20E+01	4.00E+01	6.40E+01	2.80E+01	2.80E+01	3.60E+01	3.60E+01	4.00E+01	2.40E+01	2.80E+01	3.60E+01	2.80E+01	4.80E+01	6.40E+01	2.60E+01	3.40E+01	4.80E+01	6.20E+01	2.60E+01	2.60E+01	3.40E+01	3.40E+01	4.80E+01	4.80E+01	2.60E+01	4.20E+01	4.60E+01	2.60E+01	2.60E+01	4.20E+01	4.20E+01	3.80E+01	5.40E+01	8.10E+01	2.40E+01	2.40E+01	3.20E+01	4.00E+01	3.20E+01	4.00E+01	3.20E+01	4.00E+01	3.20E+01	3.20E+01	1.60E+01	2.80E+01	1.00E+01	1.40E+01	1.80E+01	2.40E+01	3.20E+01	3.20E+01	4.00E+01	3.20E+01	30	32	24	3.00E+01	3.20E+01	3.20E+01	3.60E+01	18	24	32	32	40
1.03E+20	3.56E+20	1.15E+21	4.61E+21	2.12E+22	1.03E+20	1.15E+21	1.20E+22	1.03E+23	2.40E+22	1.68E+23	3.90E+23	1.15E+24	1.30E+23	3.67E+23	8.64E+23	1.73E+24	3.02E+24	5.40E+22	1.62E+23	3.24E+23	7.56E+23	1.51E+24	3.46E+24	1.20E+22	1.03E+23	8.78E+23	2.30E+24	1.55E+24	3.85E+24	8.71E+23	3.18E+24	1.65E+24	3.95E+24	3.14E+22	4.44E+23	2.12E+24	7.39E+23	2.86E+24	1.15E+24	3.28E+24	2.16E+22	4.86E+22	8.88E+22	4.21E+20	1.17E+21	2.27E+22	8.40E+23	4.20E+22	7.80E+22	8.40E+22	1.56E+23	7.20E+23	7.20E+23	6.64E+22	1.73E+23	1.48E+18	7.86E+18	4.18E+19	2.03E+20	8.75E+20	5.35E+21	2.01E+22	9.78E+21	4.86E+20	1.30E+21	1.02E+22	1.62E+21	8.64E+21	1.12E+23	2.02E+23	1.70E+21	3.74E+21	7.78E+21	1.93E+22	3.74E+22
4.06E+19	1.93E+20	7.78E+20	3.60E+21	1.83E+22	4.05E+19	7.77E+20	9.53E+21	9.72E+22	1.41E+22	1.48E+23	3.59E+23	1.12E+24	6.24E+22	2.33E+23	6.96E+23	1.46E+24	2.69E+24	2.46E+22	1.12E+23	2.57E+23	6.38E+23	1.34E+24	3.29E+24	4.75E+21	7.10E+22	7.33E+23	2.07E+24	6.68E+23	2.74E+24	7.34E+23	2.80E+24	1.40E+24	3.46E+24	1.72E+22	3.56E+23	1.94E+24	6.43E+23	2.58E+24	9.82E+23	2.92E+24	1.69E+22	4.27E+22	8.33E+22	3.53E+20	9.81E+20	2.05E+22	7.78E+23	4.04E+22	7.60E+22	8.09E+22	1.52E+23	6.25E+23	6.25E+23	3.81E+22	1.31E+23	4.50E+17	4.50E+18	3.08E+19	1.71E+20	7.91E+20	5.03E+21	1.93E+22	8.81E+21	2.82E+20	9.56E+20	8.99E+21	9.41E+20	6.38E+21	1.06E+23	1.66E+23	9.47E+20	2.74E+21	6.52E+21	1.73E+22	3.49E+22
1.45E+20	5.05E+20	1.64E+21	6.36E+21	2.80E+22	1.44E+20	1.64E+21	1.48E+22	1.18E+23	2.88E+22	1.90E+23	4.35E+23	1.24E+24	5.24E+23	1.16E+24	2.14E+24	3.77E+24	5.87E+24	2.01E+23	1.37E+24	8.35E+23	3.58E+24	8.44E+24	1.27E+25	3.43E+22	1.66E+23	1.29E+24	3.18E+24	1.11E+24	4.29E+24	1.24E+24	4.42E+24	2.36E+24	5.54E+24	4.08E+22	5.47E+23	2.36E+24	8.39E+23	3.20E+24	1.35E+24	3.71E+24	4.38E+22	8.84E+22	1.45E+23	4.75E+20	1.32E+21	2.51E+22	1.23E+24	4.50E+22	8.27E+22	9.64E+22	1.75E+23	8.98E+23	3.80E+24	5.26E+23	1.38E+24	1.73E+18	9.22E+18	4.80E+19	2.29E+20	9.70E+20	5.73E+21	2.12E+22	1.47E+22	1.47E+21	3.05E+21	1.48E+22	2.36E+21	1.13E+22	1.19E+23	8.45E+23	1.90E+21	4.16E+21	8.53E+21	2.05E+22	3.94E+22
